tweet_id,1_level_reply_id,2_level_reply_id
1364240121420259330,1364244514500657157,1364278821571211267
1347135875424149504,1347253733181296653,1347565080381157377
1351618808616787968,1351620337629331464,1351629438170128385
1347135875424149504,1347174402392252424,1347184096775184384
1371529752843071495,1371531235009441793,1371554423122624513
1363092777010102277,1363196797955497989,1363273617736351751
1338125817985974275,1338130469452476417,1338302969620606981
1346686323004825601,1348633019746295808,1426595864026521606
1346686323004825601,1346876546414301184,1351469241279475713
1337090218923446272,1337094347796271105,1337128789529128961
1346686323004825601,1348633019746295808,1420856377765875714
1337090218923446272,1337102119158079489,1337265334210871297
1363092777010102277,1363093475995111424,1363242401771499525
1364240121420259330,1364244514500657157,1364288242535784448
1346686323004825601,1347555237188481024,1350046510352883720
1361416983514804225,1361417603835514880,1361431352906768394
1346686323004825601,1348633019746295808,1452416743301959691
1361416983514804225,1361579629853741058,1361651279169282049
1346686323004825601,1348633019746295808,1350726693560922114
1351618808616787968,1351620337629331464,1351636608341127168
1346686323004825601,1347555237188481024,1349527359964262400
1362716089755566082,1363064593564766208,1363093316716408833
1361416983514804225,1361456703758303233,1361552676182499329
1363092777010102277,1363093475995111424,1363409638188863490
1337063941005062144,1337064401526992896,1337067742000771077
1338125817985974275,1338206488255287296,1338206988560257024
1346686323004825601,1347555237188481024,1355687761311911938
1346070174210945026,1346136206824890378,1346213082595528705
1337743525618790400,1337771914828374022,1337772406992146440
1358505844174966785,1358688243437498368,1362679784388497410
1346686323004825601,1348633019746295808,1377727711276322816
1371529752843071495,1371554524876406788,1371628264624680963
1363092777010102277,1363093475995111424,1363094093291782150
1337090218923446272,1337094347796271105,1337123404357529605
1361416983514804225,1361417603835514880,1361485742514593800
1346686323004825601,1348633019746295808,1377727832135245826
1346686323004825601,1348633019746295808,1377728375322730498
1363092777010102277,1363093475995111424,1363503182748520453
1373910139007344642,1373910891218018305,1373911507726176258
1337090218923446272,1337094347796271105,1337139602797244417
1346686323004825601,1348633019746295808,1422439421442367491
1346686323004825601,1348633019746295808,1356429739607662593
1351618808616787968,1351627826768863233,1351842823298019331
1395036936218284035,1395037927168634882,1395038482377101317
1351618808616787968,1351620337629331464,1351623732163440647
1361416983514804225,1361622981395513346,1361630802740674561
1346686323004825601,1348633019746295808,1501870091360784394
1337063941005062144,1337066704850067464,1337067327939080200
1351618808616787968,1351620337629331464,1351621295700647943
1337063941005062144,1337068881823797248,1337082720845959174
1361416983514804225,1361694042279579651,1361697224024092686
1351618808616787968,1351620337629331464,1351656690991689732
1337063938639409153,1337109853580484610,1337119934011281408
1347135875424149504,1347145658755674114,1347168668539613184
1363092777010102277,1363260345134034944,1363274325835583490
1363092777010102277,1363093475995111424,1363256458482229249
1346686323004825601,1348633019746295808,1379222246821138432
1337847067331485697,1337964776253636608,1337965109142949888
1337063941005062144,1337073034742657027,1337076925890748417
1338125817985974275,1338130469452476417,1338190547480154113
1351618808616787968,1351620337629331464,1351651993471897600
1347135875424149504,1347234298055811073,1347798192738291714
1346686323004825601,1348633019746295808,1351183316301524998
1347135875424149504,1347262054642700290,1347269347149012993
1363092777010102277,1363183059164618755,1363241096671813634
1371529752843071495,1371543230823591936,1371573841751859201
1347135875424149504,1347444682134073344,1347449703252815872
1361416983514804225,1361417603835514880,1361645295734562819
1363092777010102277,1363093475995111424,1363094847687692288
1363092777010102277,1363093475995111424,1363101331137982466
1361416983514804225,1361622981395513346,1361629441273827330
1347135875424149504,1347253733181296653,1347545027946442753
1361416983514804225,1361517912192819202,1361594857979060226
1338125817985974275,1338130469452476417,1338130608979988481
1395036936218284035,1395037927168634882,1395038269658877953
1361416983514804225,1361734201419120640,1361735454266175493
1346686323004825601,1347555237188481024,1588530715150336001
1346686323004825601,1348633019746295808,1533478595980537856
1371529752843071495,1371543230823591936,1371944576102072324
1337032226647797762,1337035016111525892,1337073158617255939
1337743525618790400,1337744621577904128,1337751779891683335
1337743525618790400,1337744351749832705,1337745101792161792
1365437462554628097,1365438090702163975,1365448941756698625
1337847067331485697,1337857142813044736,1338185799490265089
1337847067331485697,1337857142813044736,1338169062745104385
1337063938639409153,1337086684027031553,1337098084342435841
1337063938639409153,1337077682870358018,1337381499205787652
1337063938639409153,1337077682870358018,1337085454924058624
1337063938639409153,1337072089342373889,1337268168423665664
1361416983514804225,1361622981395513346,1362708298231857156
1361416983514804225,1361622981395513346,1361653795273535488
1366035988980580353,1366037228590407684,1366043302722637833
1361416983514804225,1361641942581452800,1361661170646663171
1346686323004825601,1347555237188481024,1479260328089194496
1350898702332928003,1350900487185334272,1350901014791139332
1350898702332928003,1350899320762093568,1350899474667868166
1349762048419385344,1349798052576468993,1349801702581559302
1349762048419385344,1349762815142338560,1349763433638617089
1371529752843071495,1371532915063013378,1371563076152143874
1363092777010102277,1363250927470215169,1363265024605777920
1363092777010102277,1363183059164618755,1363247394855542789
1363092777010102277,1363093475995111424,1363414498456064001
1363092777010102277,1363093475995111424,1363253986485284866
1363092777010102277,1363093475995111424,1363244123835269122
1337090218923446272,1337094347796271105,1337119944312561671
1364240121420259330,1364245885392211970,1385032772142702593
1364240121420259330,1364240771990380546,1364264601911779331
1362716089755566082,1362917320411258881,1363098157400391680
1362716089755566082,1362917320411258881,1363092565013258240
1365437462554628097,1.36548E+18,1365479884995387393
1337063938639409153,1337086684027031553,1337304254776795137
1337063938639409153,1337086684027031553,1337269794664566784
1337063938639409153,1337075302355308550,1337100219297767425
1361416983514804225,1362712981533061123,1362715863917428736
1361416983514804225,1361732960127496200,1361735213462781953
1361416983514804225,1361729531703398405,1361731296582590466
1361416983514804225,1361698892283273218,1361702074413707264
1361416983514804225,1361517912192819202,1361695837735313408
1361416983514804225,1361517912192819202,1361676470255558656
1361416983514804225,1361504338686980097,1361653400732110848
1361416983514804225,1361472963632128002,1361606602026008576
1361416983514804225,1361462719162048519,1361476832269328384
1361416983514804225,1361423989579595780,1361806866196557830
1361416983514804225,1361423989579595780,1361652365418524674
1361416983514804225,1361423989579595780,1361424551431798792
1361416983514804225,1361417603835514880,1361690837550313477
1361416983514804225,1361417603835514880,1361592564395237376
1358505844174966785,1358554629689274370,1358597774875320320
1358505844174966785,1358545400177778698,1358586480696807425
1358505844174966785,1358528768911040518,1358544915580518400
1358505844174966785,1358523336402165760,1358553094892654595
1366035988980580353,1366059028246331392,1366061625325752322
1366035988980580353,1366037228590407684,1366038274414960643
1366035988980580353,1366036782966394883,1366044339487449093
1389067500357398533,1389067926737674242,1389072696856698881
1389067500357398533,1389067926737674242,1389070760057135110
1351618808616787968,1351620337629331464,1351949819292639233
1351618808616787968,1351620337629331464,1351666859075104768
1351618808616787968,1351620337629331464,1351652953547972609
1351618808616787968,1351620337629331464,1351652259323588610
1351618808616787968,1351620337629331464,1351634554960965632
1351618808616787968,1351620337629331464,1351622414870974464
1373234271201206274,1373280330929541120,1373286130464985090
1372270925983399940,1372277906840317952,1372278049702612993
1347135875424149504,1347630980157349895,1348633022892036096
1347135875424149504,1347564564154609664,1347580549213413377
1347135875424149504,1347444682134073344,1347534021505462276
1347135875424149504,1347444682134073344,1347447307776774144
1347135875424149504,1347253733181296653,1347255171559157761
1347135875424149504,1347234298055811073,1347797629120376832
1347135875424149504,1347234298055811073,1347262413863845890
1347135875424149504,1347200887815598080,1347213669374062599
1411738605350002688,1411813662218719234,1439542427925295105
1392068584638136320,1392109628071292935,1392110317732253699
1336341697433915392,1336483933546893315,1336497001807171585
1336341697433915392,1336483933546893315,1336493180557144064
1345765074657542144,1345769247339909121,1345833271297531905
1337063941005062144,1337068881823797248,1337457416141737986
1337063941005062144,1337068881823797248,1337082419342680066
1337063941005062144,1337066439220621315,1337068617247109123
1337063941005062144,1337064401526992896,1337275511526076417
1337063941005062144,1337064401526992896,1337065949497860103
1337032226647797762,1337035016111525892,1337164265166409728
1337032226647797762,1337035016111525892,1337109480899833857
1337032226647797762,1337035016111525892,1337104414323200004
1347106646879830016,1347122796137238528,1347128883829735427
1347106646879830016,1347106910420553730,1347107327707648001
1343931287858524162,1343932685383852040,1343980025092030466
1360472994573737987,1363032993829371904,1383388571831201792
1360472994573737987,1363032993829371904,1363081658237284352
1373448547803176963,1373502300803584000,1373677294749814784
1373448547803176963,1373502300803584000,1373676395184812035
1387388816294440960,1387389846788968448,1387390981427777537
1346686323004825601,1351224506879266818,1526782485631496192
1346686323004825601,1348633019746295808,1561295413344227329
1346686323004825601,1348633019746295808,1558653827666137088
1346686323004825601,1348633019746295808,1546755552583221248
1346686323004825601,1348633019746295808,1546689701909860352
1346686323004825601,1348633019746295808,1527711994878517249
1346686323004825601,1348633019746295808,1526782947046862849
1346686323004825601,1348633019746295808,1499941019491749895
1346686323004825601,1348633019746295808,1461905930212282368
1346686323004825601,1348633019746295808,1452644717326438413
1346686323004825601,1348633019746295808,1379775255351279617
1346686323004825601,1348633019746295808,1379729575459049506
1346686323004825601,1348633019746295808,1379449993531162630
1346686323004825601,1348633019746295808,1352759235063533574
1346686323004825601,1348633019746295808,1351518500314107904
1346686323004825601,1348633019746295808,1351145842921635843
1346686323004825601,1347555237188481024,1518257689578532864
1346686323004825601,1347555237188481024,1511271833869332480
1346686323004825601,1347555237188481024,1501870416159449090
1346686323004825601,1347555237188481024,1455585851191316490
1346686323004825601,1347555237188481024,1452740109040857092
1349762048419385344,1349798763057975296,1349799291594760192
1349762048419385344,1349798052576468993,1351352239428784129
1349762048419385344,1349762815142338560,1349765623765753858
1371529752843071495,1371543230823591936,1371876186624774145
1371529752843071495,1371543230823591936,1371871184929820680
1371529752843071495,1371543230823591936,1371792191467745280
1371529752843071495,1371543230823591936,1371644333477142530
1371529752843071495,1371543230823591936,1371638628238163971
1371529752843071495,1371543230823591936,1371581103807533057
1371529752843071495,1371543230823591936,1371551897526616068
1371529752843071495,1371543230823591936,1371548375385014277
1371529752843071495,1371531405767843841,1371535586033602562
1371529752843071495,1371531405767843841,1371533054984941569
1363092777010102277,1363260345134034944,1363376986106781700
1363092777010102277,1363251473279287296,1363273804059992066
1363092777010102277,1363247581581742081,1363257519423037442
1363092777010102277,1363093475995111424,1363853425964965889
1363092777010102277,1363093475995111424,1363265076015284227
1337090218923446272,1337094347796271105,1337133258518253570
1337090218923446272,1337094347796271105,1337114001961086977
1337090218923446272,1337094347796271105,1337096419841351688
1337090218923446272,1337094347796271105,1337096130442760195
1337090218923446272,1337094347796271105,1337095135473979392
1335977737719308294,1336037699241848832,1336039767780233220
1335977737719308294,1335984074117308420,1335987109933551616
1335977737719308294,1335977942346821634,1336030598989746177
1335977737719308294,1335977942346821634,1336008170032963585
1335977737719308294,1335977942346821634,1335980765440401408
1336471346755170304,1336524717625315328,1336528158615457792
1336471346755170304,1336524717625315328,1336526626364874752
1336900160790667265,1336915100217839618,1336957400998420488
1336900160790667265,1336904600226566146,1336957738715410432
1336900160790667265,1336904600226566146,1336907552202878976
1337059533651369984,1337267307031236610,1337325174132252673
1337252310305681413,1337371013668102147,1337410211129200640
1337252310305681413,1337319113396539393,1337435015085498371
1337252310305681413,1337319113396539393,1337364579769311233
1338472810415497225,1338999291524820993,1339007387684851712
1338472810415497225,1338999291524820993,1339001643967410176
1338472810415497225,1338999291524820993,1339001142378983424
1338578487196721155,1338686646099845120,1338693428708831236
1338578487196721155,1338686646099845120,1338693363952988160
1347740413168406528,1347937807877230595,1348055242739507200
1348975993072087047,1349066204745404418,1349067471089647617
1349686190165917697,1349783161643917312,1349783728365707265
1349686190165917697,1349763260640333824,1349775103211565056
1349752341566783498,1350927656095772680,1351355222979977221
1349774216829300736,1350521471450427394,1350539570501316610
1354336530098053121,1354353690270863361,1354366034547904518
1354336530098053121,1354353690270863361,1354354066067910656
1354429708650295300,1354484364168585221,1355147547942277122
1354429708650295300,1354484364168585221,1354507193232592900
1354429708650295300,1354484364168585221,1354504121718603776
1354429708650295300,1354484364168585221,1354500136047697923
1354429708650295300,1354484364168585221,1354494814566408195
1354429708650295300,1354484364168585221,1354494424613482499
1354429708650295300,1354431475987476482,1354488304855633920
1354429708650295300,1354431475987476482,1354448532862869504
1354429708650295300,1354431475987476482,1354442197417013249
1358680058773315584,1358715291178569728,1358715623157686272
1359150260732403712,1359368051527999488,1359476910040903686
1359150260732403712,1359293068546084864,1359458624146264065
1359150260732403712,1359262846131949569,1359458208490737666
1359150260732403712,1359247510015942657,1359458760654135297
1359150260732403712,1359216405225340936,1359521893414559748
1359150260732403712,1359216405225340936,1359475494547197954
1359150260732403712,1359216405225340936,1359433153950146562
1359150260732403712,1359216405225340936,1359294096775532544
1359150260732403712,1359216405225340936,1359261780334288896
1359150260732403712,1359152515674210307,1359704656230952960
1362092255687933957,1362129882088636417,1362132271961157635
1362092255687933957,1362111860246540293,1362113468862726148
1362369572674895872,1419092132577615876,1419327667820761092
1363476187050356740,1363492590096687106,1363692663212552196
1365023157577412609,1365101131135909897,1365204534063226884
1371831459665879041,1371836348160745475,1371844417712185357
1372642527245971461,1372647426180448257,1372650624626663427
1376094912077254656,1376124999224934405,1376125463148527620
1376293167549530114,1376342352814436356,1376350881801777154
1376534635618963459,1376659374270259200,1376873029133873154
1376534635618963459,1376545705838411781,1376549593765142529
1376534635618963459,1376535930417377280,1376627552224174082
1376534635618963459,1376535930417377280,1376548004916789256
1376534635618963459,1376535930417377280,1376543174563348484
1376534635618963459,1376535930417377280,1376536670678487044
1376905470737272848,1376918237879885828,1376921314481557508
1376963221257662466,1377301333804453890,1377302611951517698
1388472494982565890,1388473139772989441,1388473966243815426
1388547748446801920,1388621221760098307,1388850707189706757
1389192045177327622,1389321808394866689,1389401240258465794
1389348350911201280,1389435393553190912,1390132289544368128
1389357435442315265,1389532043449561090,1389552809733992451
1389357435442315265,1389444912110784513,1389476866235502592
